epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.207,1.52016,3.36043,1.28878,0.39353,0.54306,0.40594,0.24125,1.38667,2.64751,1.26038,0.000661836,0.000661836,0.000661836
2,682.645,1.44048,2.18092,1.27245,0.40567,0.53943,0.40402,0.23181,1.465,2.03917,1.28944,0.00119698,0.00119698,0.00119698
3,1025.12,1.44714,1.74109,1.26508,0.47167,0.52698,0.45921,0.26193,1.4949,1.93508,1.33757,0.00160013,0.00160013,0.00160013
4,1367.24,1.35546,1.58824,1.20975,0.52726,0.52823,0.52977,0.33797,1.27273,1.74937,1.17019,0.001406,0.001406,0.001406
5,1709.51,1.25849,1.40473,1.1586,0.5737,0.55833,0.59696,0.38449,1.25178,1.66444,1.16308,0.001208,0.001208,0.001208
6,2051.9,1.19065,1.28775,1.13432,0.49663,0.55417,0.53284,0.3524,1.27468,1.69694,1.18976,0.00101,0.00101,0.00101
7,2394.5,1.12443,1.18965,1.09487,0.59473,0.57778,0.62037,0.4312,1.09767,1.38352,1.08138,0.000812,0.000812,0.000812
8,2736.87,1.07025,1.13821,1.06318,0.58204,0.58333,0.61668,0.45441,1.0301,1.39338,1.06305,0.000614,0.000614,0.000614
9,3083.05,1.00481,1.04884,1.03596,0.6189,0.60972,0.62805,0.46911,0.953,1.28449,1.01131,0.000416,0.000416,0.000416
10,3433.02,0.95525,0.98814,1.01628,0.60919,0.63472,0.67093,0.51299,0.91445,1.2126,0.9975,0.000218,0.000218,0.000218
